Component,Origin,License,Copyright
require,node-addon-api,MIT,Copyright 2017 Node.js API collaborators
require,node-gyp-build,MIT,Copyright 2017 Mathias Buus
dev,@eslint/js,MIT,Copyright OpenJS Foundation and other contributors
dev,@stylistic/eslint-plugin,MIT,Copyright Anthony Fu
dev,chai,MIT,Copyright 2017 Chai.js Assertion Library
dev,eslint,MIT,Copyright OpenJS Foundation and other contributors
dev,eslint-plugin-import-x,MIT,Copyright 2015 Ben Mosher
dev,eslint-plugin-n,MIT,Copyright Yosuke Ota
dev,eslint-plugin-promise,ISC,jden and other contributors
dev,globals,MIT,Copyright Sindre Sorhus
dev,mocha,MIT,Copyright 2011-2018 JS Foundation and contributors https://js.foundation
dev,node-gyp,MIT,Copyright Node.js contributors
file,TDigest.h,Apache license 2.0,Copyright Derrick R. Burns
